J. Piotrowski,67,20,CM,77,KRC Genk,€1.2M,Right
L. Wolsztyński,67,23,RS,73,Górnik Zabrze,€1.1M,Right
M. Janota,67,27,CAM,67,Arka Gdynia,€800K,Left
A. Czerwiński,67,25,RB,70,Zagłębie Lubin,€800K,Right
K. Wojtkowski,67,20,CAM,81,Wisła Kraków,€1.7M,Right
M. Helik,67,22,CB,72,Cracovia,€875K,Right
S. Szymański,67,19,CAM,84,Legia Warszawa,€1.6M,Left
B. Rymaniak,67,28,RB,67,Korona Kielce,€600K,Right
T. Loska,67,22,GK,75,Górnik Zabrze,€850K,Right
K. Jóźwiak,66,20,LM,84,Lech Poznań,€1.4M,Right
F. Kurto,66,27,GK,68,Wellington Phoenix,€525K,Right
M. Piossek,66,28,RM,66,VfL Sportfreunde Lotte,€650K,Right
M. Mak,66,26,RM,66,Piast Gliwice,€700K,Right
D. Szymański,66,23,RCM,74,Wisła Płock,€825K,Right
M. Szczepaniak,66,27,ST,66,Miedź Legnica,€675K,Right
L. Broź,66,32,RB,66,Śląsk Wrocław,€350K,Right
D. Blacha,66,27,LDM,66,VfL Osnabrück,€650K,Right
P. Dziczek,66,20,RDM,74,Piast Gliwice,€825K,Right
P. Tomasik,66,30,LB,66,Lech Poznań,€475K,Left
P. Bochniewicz,66,22,LCB,73,Górnik Zabrze,€775K,Left
J. Jach,66,24,CB,73,Çaykur Rizespor,€775K,Left
M. Konczkowski,66,24,RB,69,Piast Gliwice,€675K,Right
R. Boguski,66,34,RM,66,Wisła Kraków,€325K,Right
M. Buchalik,66,29,GK,67,Wisła Kraków,€500K,Right
P. Brożek,66,35,ST,66,Wisła Kraków,€300K,Right
M. Nalepa,66,25,RCB,71,Lechia Gdańsk,€725K,Right
A. Marciniak,66,29,LB,66,Arka Gdynia,€475K,Left
B. Kopacz,66,26,RB,69,Zagłębie Lubin,€675K,Right
M. Jankowski,66,28,ST,66,Arka Gdynia,€650K,Right
R. Janicki,66,25,RCB,66,Lech Poznań,€575K,Right
J. Żubrowski,66,26,LDM,71,Korona Kielce,€725K,Right
A. Buksa,66,21,ST,72,Pogoń Szczecin,€900K,Right
P. Stolarski,66,22,RB,75,Legia Warszawa,€850K,Right
M. Machaj,66,29,CAM,66,Jagiellonia Białystok,€625K,Right
A. Matuszczyk,66,29,RDM,66,Zagłębie Lubin,€500K,Right
R. Cierzniak,66,35,GK,66,Legia Warszawa,€150K,Right
M. Cholewiak,66,28,LB,66,Śląsk Wrocław,€500K,Left
A. Uryga,66,24,RCB,69,Wisła Płock,€675K,Right
K. Kamiński,66,27,GK,69,Júbilo Iwata,€550K,Right
P. Parzyszek,66,24,ST,71,Piast Gliwice,€875K,Right
A. Deja,66,25,RDM,70,Arka Gdynia,€700K,Right
T. Kupisz,65,28,RM,65,Ascoli,€550K,Right
P. Jaroszyński,65,23,LB,70,Chievo Verona,€600K,Left
M. Kopczyński,65,26,CDM,68,Wellington Phoenix,€550K,Right
P. Tuszyński,65,28,ST,65,Zagłębie Lubin,€550K,Right
M. Mak,65,26,LM,65,Lechia Gdańsk,€575K,Right
L. Janoszka,65,31,LM,65,Zagłębie Lubin,€475K,Left
H. Matynia,65,22,LB,72,Pogoń Szczecin,€650K,Right
R. Grzyb,65,35,CDM,65,Jagiellonia Białystok,€130K,Right
S. Matuszek,65,29,RCM,65,Górnik Zabrze,€425K,Right
S. Peszko,65,33,LM,65,Lechia Gdańsk,€325K,Right
K. Wrzesiński,65,24,LM,68,Zagłębie Sosnowiec,€675K,Right
R. Augustyniak,65,24,CDM,69,Miedź Legnica,€600K,Right
T. Nowak,65,32,CAM,65,Zagłębie Sosnowiec,€425K,Left
T. Hołota,65,27,CDM,65,Pogoń Szczecin,€450K,Right
W. Golla,65,26,LCB,67,Śląsk Wrocław,€550K,Right
J. Słowik,65,26,GK,67,Śląsk Wrocław,€450K,Right
D. Dziwniel,65,25,LB,68,Zagłębie Lubin,€550K,Left
A. Borysiuk,65,26,CDM,68,Lechia Gdańsk,€550K,Right
B. Augustyn,65,30,LCB,65,Lechia Gdańsk,€400K,Right
M. Budziński,65,27,CDM,65,Cracovia,€450K,Right
S. Mrowca,65,24,CDM,68,SV Wehen Wiesbaden,€575K,Right
B. Kwiecień,64,24,CDM,70,Jagiellonia Białystok,€525K,Right
M. Gostomski,64,29,GK,64,Cracovia,€300K,Right
P. Malarczyk,64,26,CB,65,Korona Kielce,€450K,Right
M. Matras,64,27,CDM,65,Zagłębie Lubin,€425K,Right
P. Zieliński,64,27,RM,64,Miedź Legnica,€375K,Right
J. Szmatuła,64,37,GK,64,Piast Gliwice,€30K,Right
S. Rudol,64,23,CB,69,Pogoń Szczecin,€500K,Right
M. Cebula,64,22,CAM,70,Korona Kielce,€625K,Right
K. Świderski,64,21,ST,74,Jagiellonia Białystok,€750K,Left
M. Wieteska,64,21,CB,72,Legia Warszawa,€575K,Right
D. Perquis,64,34,CB,64,GFC Ajaccio,€140K,Right
M. Pietrowski,64,30,LB,64,Piast Gliwice,€325K,Right
D. Niepsuj,64,22,RB,71,Pogoń Szczecin,€525K,Right
J. Tosik,64,31,CDM,64,Zagłębie Lubin,€300K,Right
M. Wdowiak,64,21,LM,72,Cracovia,€675K,Right
P. Leciejewski,64,33,GK,64,Zagłębie Lubin,€230K,Right
K. Mazek,64,23,RM,67,Zagłębie Lubin,€575K,Left
J. Bartkowski,64,26,RB,65,Wisła Kraków,€425K,Right
T. Cywka,64,30,CDM,64,Lech Poznań,€325K,Right
K. Angielski,64,22,ST,69,Wisła Płock,€625K,Left
M. Marcjanik,64,23,CB,73,Empoli,€600K,Right
G. Sandomierski,64,28,GK,66,Jagiellonia Białystok,€375K,Left
A. Danch,64,30,CB,64,Arka Gdynia,€325K,Right
P. Polczak,64,31,CB,64,Zagłębie Sosnowiec,€300K,Right
R. Siemaszko,64,31,ST,64,Arka Gdynia,€400K,Right
A. Reca,63,23,LB,69,Atalanta,€425K,Left
F. Piasecki,63,23,ST,68,Miedź Legnica,€500K,Right
M. Miśkiewicz,63,29,GK,64,Korona Kielce,€290K,Right
R. Pietrzak,63,26,LB,66,Wisła Kraków,€375K,Left
M. Lewandowski,63,25,LB,64,Lechia Gdańsk,€350K,Left
J. Bartosz,63,21,RB,73,Wisła Kraków,€525K,Right
D. Hładun,63,22,GK,68,Zagłębie Lubin,€350K,Right
D. Smuga,63,21,ST,72,Górnik Zabrze,€575K,Right
G. Bartczak,63,33,LCB,63,Miedź Legnica,€140K,Right
A. Kokoszka,63,31,CB,63,Zagłębie Sosnowiec,€250K,Right
G. Wojtkowiak,63,34,RB,63,Lechia Gdańsk,€100K,Right
J. Arak,63,23,ST,71,Lechia Gdańsk,€550K,Right
W. Łobodziński,63,35,RM,63,Miedź Legnica,€160K,Right
A. Jagiełło,63,23,LM,68,Piast Gliwice,€500K,Left
J. Lindner,63,30,RM,63,VfL Sportfreunde Lotte,€350K,Right
M. Cichocki,63,26,LCB,66,Zagłębie Sosnowiec,€375K,Right
M. Koj,63,24,LB,67,Górnik Zabrze,€400K,Right
S. Pawłowski,63,31,CAM,63,Zagłębie Sosnowiec,€325K,Right
K. Osyra,63,25,CB,68,Miedź Legnica,€425K,Right
B. Babiarz,63,29,CDM,63,Zagłębie Sosnowiec,€290K,Right
F. Jagiełło,63,20,LDM,71,Zagłębie Lubin,€550K,Right
K. Bielik,63,20,CB,78,Charlton Athletic,€725K,Right
D. Sołdecki,62,31,CDM,62,Arka Gdynia,€200K,Right
D. Kudła,62,26,GK,66,Zagłębie Sosnowiec,€270K,Right
L. Moneta,62,24,LM,66,Zagłębie Lubin,€400K,Left
L. Sapela,62,35,GK,62,Miedź Legnica,€70K,Left
K. Dankowski,62,21,0,72,Śląsk Wrocław,€425K,0
L. Garguła,62,37,0,62,Miedź Legnica,€100K,0
D. Kopacz,62,19,CAM,77,VfB Stuttgart,€650K,Right
